index,state,FederalFunded,ProjectAmount,PercentFunded,
0,Alabama,372465362.3,452150334.6,0.823764429,0.008607104
1,Alaska,142222883.1,188642822.5,0.753926819,0.003315086
2,American Samoa,93231844.2,103217410.7,0.903256956,0.002180378
3,Arizona,27249912.98,34084867.18,0.799472471,0.000638676
4,Arkansas,507945732.3,658978406.2,0.770807856,0.0119127
5,California,1507317221,1926804461,0.78228863,0.035776862
6,Colorado,405801538.7,532202684.3,0.762494348,0.009989269
7,Connecticut,297964942.1,394463704.1,0.755367196,0.007408756
8,Delaware,24384803.44,32622361.36,0.747487381,0.000610842
9,District of Columbia,54893427.26,69366342.7,0.791355362,0.001375927
10,Federated States of Micronesia,73991.65,98655.53,0.750000025,1.85719E-06
11,Florida,993674472.5,1251903613,0.793730813,0.024941236
12,Georgia,451719529.7,583908917.6,0.773613,0.011628184
13,Guam,4918960.97,6512966.18,0.755256643,0.000128114
14,Hawaii,32914428.35,42850735.27,0.76811817,0.000857363
15,Idaho,34756959.33,45997534.13,0.755626578,0.000906134
16,Illinois,264079943.3,347828941.9,0.759223605,0.006890964
17,Indiana,200381321,262601592.8,0.763062093,0.005265078
18,Iowa,1510525632,1751559014,0.862389232,0.039899582
19,Kansas,410487237.2,545238266.3,0.752858452,0.011293362
20,Kentucky,451776035.7,585159471.1,0.772056265,0.012571275
21,Louisiana,1985949193,2276693412,0.872295401,0.055965259
22,Maine,52373982.27,70075999.27,0.747388304,0.001563428
23,Maryland,277381787,369151241.6,0.751404183,0.008293157
24,Massachusetts,584019886.4,773427597.9,0.755106086,0.017607036
25,Michigan,58806799.68,76510949.28,0.768606327,0.001804683
26,Minnesota,245025160.9,323228527.2,0.758055494,0.00753301
27,Mississippi,259922382.3,338537923.9,0.767779218,0.00805166
28,Missouri,667584301.6,901168609.1,0.740798442,0.020847733
29,Montana,70661811.79,90192203.1,0.783458097,0.002253654
30,Nebraska,237951981,318163154.3,0.747892953,0.007606269
31,Nevada,31905354.83,41778816.54,0.763673016,0.001027689
32,New Hampshire,93414105.53,124298150.4,0.751532547,0.003012016
33,New Jersey,2498037708,2848483786,0.876971012,0.080789318
34,New Mexico,256773228.6,334521036.8,0.767584697,0.009034199
35,New York,15387757285,17396844220,0.884514288,0.546331889
36,North Carolina,498219511.5,652055862.8,0.76407489,0.03899094
37,North Dakota,440503329.9,511402516.5,0.861363243,0.035872751
38,Northern Mariana Islands,39318029.85,43772038.91,0.898245337,0.003321031
39,Ohio,127308537.5,168419696.1,0.75590053,0.010789054
40,Oklahoma,652597401.3,854338323.5,0.763862961,0.055909069
41,Oregon,140257620.8,184532461.5,0.760070178,0.012727689
42,Pennsylvania,372118484.4,491768415,0.75669456,0.034203251
43,Puerto Rico,2605635590,2667723750,0.976726166,0.247978529
44,Rhode Island,70699680.58,88096485.48,0.802525551,0.00894721
45,South Carolina,570842737.9,720897025.5,0.791850594,0.072893676
46,South Dakota,232857875,308664950.8,0.754403357,0.032072644
47,Tennessee,484026475.5,580434115.1,0.83390425,0.068876359
48,Texas,4204049692,4561676899,0.921601811,0.642482868
49,Utah,26118562.81,34588112.54,0.755131197,0.011164676
50,Vermont,268707088.2,310444587.3,0.86555572,0.11615877
51,Virgin Islands of the U.S.,1035916839,1078571177,0.960452922,0.506668047
52,Virginia,266606492,352259985.9,0.756845803,0.264320045
53,Washington,311251048.3,409308985.5,0.760430529,0.419451043
54,West Virginia,287078580.8,376353607.1,0.762789503,0.666396024
55,Wisconsin,125178013.7,163864498.4,0.763911738,0.871020635
56,Wyoming,18536163.25,24638662.97,0.752320176,1
